FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
248384,MB,116, ,52.685000000000002,-100.691999999999990,1961,9,16,1961-09-16 00:00:00,,,1960-1969,9716.600000000000400,L,Intensive, , ,MB-1961-116, , ,2008-11-12 00:00:00,717,155,9,9,MB
316278,ON,SIO41, ,52.619100000000003,-92.172799999999995,1993,6,11,1993-06-11 00:00:00,,,1990-1999,33875.000000000000000,L,EXT, , ,ON-1993-SIO41, , ,,372,90,6,6a,ON
394730,NL,NA, ,54.549999999999997,-59.450000000000003,1976,7,9,1976-07-09 00:00:00,,,1970-1979,630.000000000000000,L,NA, , ,NL-1976-NA, , ,2008-11-12 00:00:00,313,78,5,5b,NL
211485,SK,15LX-ROCK,15LX-ROCK,55.729317000000002,-106.583316999999990,2015,6,26,2015-06-26 00:00:00,,2015-07-07 00:00:00,2010-2019,500.000000000000000,L, ,Wildfire, ,SK-2015-15LX-ROCK, , ,2020-04-03 00:00:00,354,88,6,6a,SK
245353,MB,2-2-42-89, ,55.380299999999998,-101.394300000000000,1989,7,18,1989-07-18 00:00:00,1989-08-08 00:00:00,1989-09-06 00:00:00,1980-1989,10000.000000000000000,L,Intensive, , ,MB-1989-2-2-42-89, , ,2008-07-24 00:00:00,353,88,6,6a,MB
246642,MB,1-4-126-89, ,54.816699999999997,-96.516700000000000,1989,8,10,1989-08-10 00:00:00,1988-11-30 00:00:00,1989-08-23 00:00:00,1980-1989,5492.300000000000200,L,Intensive, , ,MB-1989-1-4-126-89, , ,2008-07-24 00:00:00,365,89,6,6a,MB
378166,YT,2004WL004, ,60.624722200000001,-128.902222200000010,2004,6,21,2004-06-21 00:00:00,,2004-09-25 00:00:00,2000-2009,9560.000000000000000,L,Stratigic FMZ, ,Stewart Lake,YT-2004-2004WL004, , ,2016-06-16 00:00:00,925,181,12,12,YT
225228,SK,MCLEAN,MCLEAN,58.009596160000001,-102.239122560000000,1985,8,20,1985-08-20 00:00:00,,1985-09-06 00:00:00,1980-1989,4466.211599999999600,L, ,Wildfire, ,SK-1985-MCLEAN, , ,2020-04-03 00:00:00,343,88,6,6a,SK
355034,NT,SS024-19, ,61.664665999999997,-111.328166000000000,2019,7,18,2019-07-18 00:00:00,,2019-08-20 00:00:00,2010-2019,1917.000000000000000,L, , , ,NT-2019-SS024-19, , ,2020-05-04 00:00:00,263,69,5,5a,NT
379288,NT,FS021-15, ,60.894165999999998,-122.360166000000010,2015,5,24,2015-05-24 00:00:00,,2015-08-24 00:00:00,2010-2019,12660.799999999999000,L,Limited Action, , ,NT-2015-FS021-15, , ,2018-06-15 00:00:00,247,65,4,4,NT
210126,SK,08LL-STONY,08LL-STONY,58.833300000000001,-108.583000000000000,2008,8,14,2008-08-14 00:00:00,,2008-05-28 00:00:00,2000-2009,1030.000000000000000,L, ,Wildfire, ,SK-2008-08LL-STONY, , ,2020-04-03 00:00:00,333,87,6,6a,SK
355670,QC,2005-302, ,50.102220000000003,-73.188310000000001,2005,5,31,2005-05-31 00:00:00,,2005-07-15 00:00:00,2000-2009,77698.000000000000000,L,Intensive, , ,QC-2005-302, , ,2018-05-18 00:00:00,433,101,6,6b,QC
